FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId,FundIdentifierId,custodian
2ZA8,2ZA8 Fund Name AUD,2ZA8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FY281472,UIHWFQDJ
4PVX,4PVX Fund Name AUD,4PVX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,16166991,NUECWC
PMOC,PMOC Fund Name AUD,PMOC,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,21556471,RTTCNT
MOJV,MOJV Fund Name AUD,MOJV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,WX404304,CRSMCGYR
KZR8,KZR8 Fund Name AUD,KZR8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZC494784,OZXPHYXN
QLVA,QLVA Fund Name AUD,QLVA,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,DE246711,WOEIXT
Z03E,Z03E Fund Name AUD,Z03E,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UO735595,ZKKTMW
SCK7,SCK7 Fund Name AUD,SCK7,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,XC984954,PTRCZS
C8WA,C8WA Fund Name AUD,C8WA,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,HV888293,WOXXDQ
SXYD,SXYD Fund Name AUD,SXYD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,TN765286,JBWNKMCF
ESDR,ESDR Fund Name AUD,ESDR,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,15281127,FWSHXX
XI2D,XI2D Fund Name AUD,XI2D,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QV633654,JYLJGZW
RYBL,RYBL Fund Name AUD,RYBL,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TU371330,EDATQVJL
HER6,HER6 Fund Name AUD,HER6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,97617775,NNJIGJE
5QW1,5QW1 Fund Name AUD,5QW1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NY615746,BYTQTG
NET1,NET1 Fund Name AUD,NET1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GG211228,KLWAZIM
1IJ8,1IJ8 Fund Name AUD,1IJ8,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,OR586878,JMNOOKOP
LS61,LS61 Fund Name AUD,LS61,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,JT562542,DMULZW
18ZK,18ZK Fund Name AUD,18ZK,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,23307913,BZLOOBT
DBMP,DBMP Fund Name AUD,DBMP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,JG719428,WGOLHX
2HLT,2HLT Fund Name AUD,2HLT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GX292273,NBCYZULH
2MUT,2MUT Fund Name AUD,2MUT,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,CG916249,XKGRDE
XK3U,XK3U Fund Name AUD,XK3U,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,55309839,SHPSQAEZ
E3TO,E3TO Fund Name AUD,E3TO,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,WR749780,PILAMF
4W3S,4W3S Fund Name AUD,4W3S,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HB463277,XSQLHNVE
DRFM,DRFM Fund Name AUD,DRFM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QT319935,AXAJDUZC
NC2X,NC2X Fund Name AUD,NC2X,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,MR937845,WSHZJS
HRHP,HRHP Fund Name AUD,HRHP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,QI748553,EBOZUT
37FO,37FO Fund Name AUD,37FO,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,14353965,GQIAXF
K1W4,K1W4 Fund Name AUD,K1W4,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LG128036,QXUXOQRN
YVCV,YVCV Fund Name AUD,YVCV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ZQ921287,FTRAHBF
UW2Z,UW2Z Fund Name AUD,UW2Z,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NU303302,CVWNME
UPG3,UPG3 Fund Name AUD,UPG3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HB929265,JRZIFALO
40TT,40TT Fund Name AUD,40TT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZV105138,NWIFEFPI
ZDMM,ZDMM Fund Name AUD,ZDMM,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,59792630,MVQUSUQ
7Z57,7Z57 Fund Name AUD,7Z57,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,37449537,NPDVGX
H3K4,H3K4 Fund Name AUD,H3K4,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,48660849,OTDJTN
TDBW,TDBW Fund Name AUD,TDBW,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,SM855290,BPNIFA
OJJF,OJJF Fund Name AUD,OJJF,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ZT762316,XYIJAR
2C5O,2C5O Fund Name AUD,2C5O,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZH718521,SOLDUY
MW41,MW41 Fund Name AUD,MW41,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ES739652,NUUMSE
PZIY,PZIY Fund Name AUD,PZIY,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ND391704,DRYUVN
4C9A,4C9A Fund Name AUD,4C9A,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,32454321,GYCKNMJS
1Q9W,1Q9W Fund Name AUD,1Q9W,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,FR663223,SVQCFKAR
WRDE,WRDE Fund Name AUD,WRDE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,US667051,UKDNVW
3LLH,3LLH Fund Name AUD,3LLH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,44788568,BKKWTG
875J,875J Fund Name AUD,875J,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,FI807803,GUXHHG
51F6,51F6 Fund Name AUD,51F6,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GV363944,QHLNBR
TLVI,TLVI Fund Name AUD,TLVI,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,IC384295,JKKDAI
KHA5,KHA5 Fund Name AUD,KHA5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,OD396207,MIUSOE
M7IT,M7IT Fund Name AUD,M7IT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,65613739,YQXIMQX
FO46,FO46 Fund Name AUD,FO46,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,CG208260,UGDJHW
NJHZ,NJHZ Fund Name AUD,NJHZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FJ745060,MVJYMY
18XT,18XT Fund Name AUD,18XT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,MP865817,LIVPMAT
JY40,JY40 Fund Name AUD,JY40,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,49863839,AMOULX
V6CV,V6CV Fund Name AUD,V6CV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,CO338651,RJWLRAF
5XGE,5XGE Fund Name AUD,5XGE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,33697338,VGJNQD
8F7F,8F7F Fund Name AUD,8F7F,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,85309442,MHFPUZ
Z799,Z799 Fund Name AUD,Z799,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,26709255,VSNTLFSA
FVJV,FVJV Fund Name AUD,FVJV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,93169324,UBVJKH
VSQG,VSQG Fund Name AUD,VSQG,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TT714960,AWMMCK
JBI2,JBI2 Fund Name AUD,JBI2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,CR872782,QIALLBBW
EVXT,EVXT Fund Name AUD,EVXT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LV381512,PZVVZL
QJCK,QJCK Fund Name AUD,QJCK,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RE327601,EHWUTC
7DAE,7DAE Fund Name AUD,7DAE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,34757926,KFOGRPMJ
14B6,14B6 Fund Name AUD,14B6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,EL358690,XTOKHF
7195,7195 Fund Name AUD,7195,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,YM267862,NJEPBCS
88DO,88DO Fund Name AUD,88DO,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RN981578,TSDVEK
QGII,QGII Fund Name AUD,QGII,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,30436606,BMBRCH
FDST,FDST Fund Name AUD,FDST,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,BE211820,HZRGOPDX
R4TF,R4TF Fund Name AUD,R4TF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ER192547,LYUVSE
SAG1,SAG1 Fund Name AUD,SAG1,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LT163044,TYFTCA
ESOM,ESOM Fund Name AUD,ESOM,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,81167879,PMNHCX
CPGS,CPGS Fund Name AUD,CPGS,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,UV903497,AMJUMA
UPVK,UPVK Fund Name AUD,UPVK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RO229433,TWWPSL
7Z2W,7Z2W Fund Name AUD,7Z2W,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GQ955128,DDUKINY
TTO9,TTO9 Fund Name AUD,TTO9,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZF519043,OQBEZKM
XTZX,XTZX Fund Name AUD,XTZX,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NH469908,NEZFOV
7FZT,7FZT Fund Name AUD,7FZT,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GF681570,GPQZGX
KTTV,KTTV Fund Name AUD,KTTV,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,85790155,ZVNOWO
CDGY,CDGY Fund Name AUD,CDGY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,NB352231,LNIIXV
SI03,SI03 Fund Name AUD,SI03,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,63317568,YZGHZN
TUPQ,TUPQ Fund Name AUD,TUPQ,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,SB885235,QTCXVZ
IYTZ,IYTZ Fund Name AUD,IYTZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,BE847557,YFQITT
N4LA,N4LA Fund Name AUD,N4LA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,76745871,PRSKERX
D0L1,D0L1 Fund Name AUD,D0L1,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,WI792571,XXKNEV
KKCR,KKCR Fund Name AUD,KKCR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,48409033,HYSXMR
TSHZ,TSHZ Fund Name AUD,TSHZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QJ985022,YDGLKI
L3SD,L3SD Fund Name AUD,L3SD,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,62934048,QFOFUC
OY42,OY42 Fund Name AUD,OY42,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,65430076,ELOKQU
S4JN,S4JN Fund Name AUD,S4JN,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,44473300,KCTKRU
2LB5,2LB5 Fund Name AUD,2LB5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RR441607,DRTTLV
5ZWX,5ZWX Fund Name AUD,5ZWX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AM465849,MMGQFN
QZHI,QZHI Fund Name AUD,QZHI,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,HS788232,VLLCCOX
R5X8,R5X8 Fund Name AUD,R5X8,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,25808583,ZMMDSB
HTSX,HTSX Fund Name AUD,HTSX,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QB178652,JQUTYELM
T5F3,T5F3 Fund Name AUD,T5F3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,GG932193,OEMBQB
0XLA,0XLA Fund Name AUD,0XLA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,77668712,BAOHZOSL
TT5T,TT5T Fund Name AUD,TT5T,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ZL402094,NILXIG
1JGU,1JGU Fund Name AUD,1JGU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,BK674080,ATJNWO
5P2X,5P2X Fund Name AUD,5P2X,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,81543968,VSZRZHK
4B0N,4B0N Fund Name AUD,4B0N,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,28581891,LRRERCEI
HH7H,HH7H Fund Name AUD,HH7H,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,PF657879,NYZIOUMP
8H7Y,8H7Y Fund Name AUD,8H7Y,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,YA341044,OCDWRH
6NA2,6NA2 Fund Name AUD,6NA2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UB763326,IUQOGLD
VDDT,VDDT Fund Name AUD,VDDT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,73586397,MSQDIHT
L5I2,L5I2 Fund Name AUD,L5I2,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AA405815,WDEKHI
62T6,62T6 Fund Name AUD,62T6,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NA954848,LAVAUFRK
U1RZ,U1RZ Fund Name AUD,U1RZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LC294767,NQEAWXDB
43R5,43R5 Fund Name AUD,43R5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,VK314360,PDKAFE
00MX,00MX Fund Name AUD,00MX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,MF722298,EOUOQY
RH5I,RH5I Fund Name AUD,RH5I,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,37744047,VZSPPN
BZ76,BZ76 Fund Name AUD,BZ76,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,PB726589,KBBGMLVZ
TTFR,TTFR Fund Name AUD,TTFR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RD394205,EDBXQG
R3X7,R3X7 Fund Name AUD,R3X7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,93060401,LPELLQG
71CK,71CK Fund Name AUD,71CK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZM635680,EGBMUY
EQE3,EQE3 Fund Name AUD,EQE3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,18284073,EJLSVKFF
YZPF,YZPF Fund Name AUD,YZPF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,99551612,MYZOBKEI
S68V,S68V Fund Name AUD,S68V,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,YS284511,JVZHFOIH
O3M2,O3M2 Fund Name AUD,O3M2,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,CM168034,AVWGVS
YJS8,YJS8 Fund Name AUD,YJS8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AH735132,FJRVVL
E29U,E29U Fund Name AUD,E29U,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TA924108,KTPAWJ
ID5F,ID5F Fund Name AUD,ID5F,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,AT489899,IKEZAU
XFX3,XFX3 Fund Name AUD,XFX3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,59636170,KXFAFS
EXCC,EXCC Fund Name AUD,EXCC,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,IA928471,AHDNPW
DGAM,DGAM Fund Name AUD,DGAM,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LG459903,PUWTDB
2HBS,2HBS Fund Name AUD,2HBS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,25032657,VNVBNBPA
CADS,CADS Fund Name AUD,CADS,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QF874165,DAIJAA
X1NU,X1NU Fund Name AUD,X1NU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HP537029,NOZZPB
