FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId
UWO3,UWO3 Fund Name AUD,UWO3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
OPT7,OPT7 Fund Name AUD,OPT7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
V3DS,V3DS Fund Name AUD,V3DS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
IRPM,IRPM Fund Name AUD,IRPM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
2IF9,2IF9 Fund Name AUD,2IF9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
I1JE,I1JE Fund Name AUD,I1JE,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
6DNP,6DNP Fund Name AUD,6DNP,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XL8H,XL8H Fund Name AUD,XL8H,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
WRLT,WRLT Fund Name AUD,WRLT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
BUEJ,BUEJ Fund Name AUD,BUEJ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
8MWJ,8MWJ Fund Name AUD,8MWJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
BO9R,BO9R Fund Name AUD,BO9R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
RBX7,RBX7 Fund Name AUD,RBX7,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
8ZTQ,8ZTQ Fund Name AUD,8ZTQ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
GQZH,GQZH Fund Name AUD,GQZH,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
FNUA,FNUA Fund Name AUD,FNUA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
2ZA8,2ZA8 Fund Name AUD,2ZA8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4PVX,4PVX Fund Name AUD,4PVX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
PMOC,PMOC Fund Name AUD,PMOC,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
MOJV,MOJV Fund Name AUD,MOJV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
KZR8,KZR8 Fund Name AUD,KZR8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QLVA,QLVA Fund Name AUD,QLVA,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
Z03E,Z03E Fund Name AUD,Z03E,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
SCK7,SCK7 Fund Name AUD,SCK7,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
C8WA,C8WA Fund Name AUD,C8WA,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
SXYD,SXYD Fund Name AUD,SXYD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ESDR,ESDR Fund Name AUD,ESDR,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XI2D,XI2D Fund Name AUD,XI2D,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
RYBL,RYBL Fund Name AUD,RYBL,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
HER6,HER6 Fund Name AUD,HER6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
5QW1,5QW1 Fund Name AUD,5QW1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
NET1,NET1 Fund Name AUD,NET1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1IJ8,1IJ8 Fund Name AUD,1IJ8,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
LS61,LS61 Fund Name AUD,LS61,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
18ZK,18ZK Fund Name AUD,18ZK,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
DBMP,DBMP Fund Name AUD,DBMP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
2HLT,2HLT Fund Name AUD,2HLT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
2MUT,2MUT Fund Name AUD,2MUT,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XK3U,XK3U Fund Name AUD,XK3U,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
E3TO,E3TO Fund Name AUD,E3TO,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4W3S,4W3S Fund Name AUD,4W3S,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
DRFM,DRFM Fund Name AUD,DRFM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
NC2X,NC2X Fund Name AUD,NC2X,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
HRHP,HRHP Fund Name AUD,HRHP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
37FO,37FO Fund Name AUD,37FO,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
K1W4,K1W4 Fund Name AUD,K1W4,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
YVCV,YVCV Fund Name AUD,YVCV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
UW2Z,UW2Z Fund Name AUD,UW2Z,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
UPG3,UPG3 Fund Name AUD,UPG3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
40TT,40TT Fund Name AUD,40TT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ZDMM,ZDMM Fund Name AUD,ZDMM,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7Z57,7Z57 Fund Name AUD,7Z57,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
H3K4,H3K4 Fund Name AUD,H3K4,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TDBW,TDBW Fund Name AUD,TDBW,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
OJJF,OJJF Fund Name AUD,OJJF,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
2C5O,2C5O Fund Name AUD,2C5O,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
MW41,MW41 Fund Name AUD,MW41,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
PZIY,PZIY Fund Name AUD,PZIY,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4C9A,4C9A Fund Name AUD,4C9A,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1Q9W,1Q9W Fund Name AUD,1Q9W,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
WRDE,WRDE Fund Name AUD,WRDE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
3LLH,3LLH Fund Name AUD,3LLH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
875J,875J Fund Name AUD,875J,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
51F6,51F6 Fund Name AUD,51F6,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TLVI,TLVI Fund Name AUD,TLVI,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KHA5,KHA5 Fund Name AUD,KHA5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
M7IT,M7IT Fund Name AUD,M7IT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
FO46,FO46 Fund Name AUD,FO46,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
NJHZ,NJHZ Fund Name AUD,NJHZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
18XT,18XT Fund Name AUD,18XT,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
JY40,JY40 Fund Name AUD,JY40,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
V6CV,V6CV Fund Name AUD,V6CV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
5XGE,5XGE Fund Name AUD,5XGE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
8F7F,8F7F Fund Name AUD,8F7F,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
Z799,Z799 Fund Name AUD,Z799,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
FVJV,FVJV Fund Name AUD,FVJV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
VSQG,VSQG Fund Name AUD,VSQG,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
JBI2,JBI2 Fund Name AUD,JBI2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
EVXT,EVXT Fund Name AUD,EVXT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
QJCK,QJCK Fund Name AUD,QJCK,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7DAE,7DAE Fund Name AUD,7DAE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
14B6,14B6 Fund Name AUD,14B6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7195,7195 Fund Name AUD,7195,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
88DO,88DO Fund Name AUD,88DO,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QGII,QGII Fund Name AUD,QGII,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
FDST,FDST Fund Name AUD,FDST,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
R4TF,R4TF Fund Name AUD,R4TF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
SAG1,SAG1 Fund Name AUD,SAG1,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ESOM,ESOM Fund Name AUD,ESOM,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
CPGS,CPGS Fund Name AUD,CPGS,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
UPVK,UPVK Fund Name AUD,UPVK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
7Z2W,7Z2W Fund Name AUD,7Z2W,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TTO9,TTO9 Fund Name AUD,TTO9,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XTZX,XTZX Fund Name AUD,XTZX,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
7FZT,7FZT Fund Name AUD,7FZT,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KTTV,KTTV Fund Name AUD,KTTV,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
CDGY,CDGY Fund Name AUD,CDGY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
SI03,SI03 Fund Name AUD,SI03,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
TUPQ,TUPQ Fund Name AUD,TUPQ,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
IYTZ,IYTZ Fund Name AUD,IYTZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
N4LA,N4LA Fund Name AUD,N4LA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
D0L1,D0L1 Fund Name AUD,D0L1,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
KKCR,KKCR Fund Name AUD,KKCR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
TSHZ,TSHZ Fund Name AUD,TSHZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
L3SD,L3SD Fund Name AUD,L3SD,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
OY42,OY42 Fund Name AUD,OY42,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
S4JN,S4JN Fund Name AUD,S4JN,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
2LB5,2LB5 Fund Name AUD,2LB5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
5ZWX,5ZWX Fund Name AUD,5ZWX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QZHI,QZHI Fund Name AUD,QZHI,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
R5X8,R5X8 Fund Name AUD,R5X8,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
HTSX,HTSX Fund Name AUD,HTSX,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
T5F3,T5F3 Fund Name AUD,T5F3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
0XLA,0XLA Fund Name AUD,0XLA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TT5T,TT5T Fund Name AUD,TT5T,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
1JGU,1JGU Fund Name AUD,1JGU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5P2X,5P2X Fund Name AUD,5P2X,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4B0N,4B0N Fund Name AUD,4B0N,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
HH7H,HH7H Fund Name AUD,HH7H,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
8H7Y,8H7Y Fund Name AUD,8H7Y,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
6NA2,6NA2 Fund Name AUD,6NA2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
VDDT,VDDT Fund Name AUD,VDDT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
L5I2,L5I2 Fund Name AUD,L5I2,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
62T6,62T6 Fund Name AUD,62T6,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
U1RZ,U1RZ Fund Name AUD,U1RZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
43R5,43R5 Fund Name AUD,43R5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
00MX,00MX Fund Name AUD,00MX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
RH5I,RH5I Fund Name AUD,RH5I,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
BZ76,BZ76 Fund Name AUD,BZ76,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TTFR,TTFR Fund Name AUD,TTFR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
R3X7,R3X7 Fund Name AUD,R3X7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
71CK,71CK Fund Name AUD,71CK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
EQE3,EQE3 Fund Name AUD,EQE3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
YZPF,YZPF Fund Name AUD,YZPF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
S68V,S68V Fund Name AUD,S68V,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
O3M2,O3M2 Fund Name AUD,O3M2,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
YJS8,YJS8 Fund Name AUD,YJS8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
E29U,E29U Fund Name AUD,E29U,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ID5F,ID5F Fund Name AUD,ID5F,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
XFX3,XFX3 Fund Name AUD,XFX3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
EXCC,EXCC Fund Name AUD,EXCC,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
DGAM,DGAM Fund Name AUD,DGAM,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
2HBS,2HBS Fund Name AUD,2HBS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
CADS,CADS Fund Name AUD,CADS,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
X1NU,X1NU Fund Name AUD,X1NU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
W62S,W62S Fund Name AUD,W62S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ITT6,ITT6 Fund Name AUD,ITT6,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1MQR,1MQR Fund Name AUD,1MQR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
QABM,QABM Fund Name AUD,QABM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
GAYP,GAYP Fund Name AUD,GAYP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
4HHW,4HHW Fund Name AUD,4HHW,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5CE9,5CE9 Fund Name AUD,5CE9,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
83U3,83U3 Fund Name AUD,83U3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KCZH,KCZH Fund Name AUD,KCZH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
HYDA,HYDA Fund Name AUD,HYDA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
SNOZ,SNOZ Fund Name AUD,SNOZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QUW2,QUW2 Fund Name AUD,QUW2,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KGQ6,KGQ6 Fund Name AUD,KGQ6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
EB6P,EB6P Fund Name AUD,EB6P,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
Q6GB,Q6GB Fund Name AUD,Q6GB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
XVRV,XVRV Fund Name AUD,XVRV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
PDTI,PDTI Fund Name AUD,PDTI,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
D5TR,D5TR Fund Name AUD,D5TR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
W9A8,W9A8 Fund Name AUD,W9A8,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
R3FY,R3FY Fund Name AUD,R3FY,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
31UY,31UY Fund Name AUD,31UY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7NE3,7NE3 Fund Name AUD,7NE3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
IRIP,IRIP Fund Name AUD,IRIP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
N9TJ,N9TJ Fund Name AUD,N9TJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
4S44,4S44 Fund Name AUD,4S44,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
RO1S,RO1S Fund Name AUD,RO1S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
FQS3,FQS3 Fund Name AUD,FQS3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ZW39,ZW39 Fund Name AUD,ZW39,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4EU0,4EU0 Fund Name AUD,4EU0,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
17PX,17PX Fund Name AUD,17PX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
CL9K,CL9K Fund Name AUD,CL9K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
FEEB,FEEB Fund Name AUD,FEEB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ULBE,ULBE Fund Name AUD,ULBE,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ZSRF,ZSRF Fund Name AUD,ZSRF,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
MXVK,MXVK Fund Name AUD,MXVK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
57XK,57XK Fund Name AUD,57XK,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
NZBW,NZBW Fund Name AUD,NZBW,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
L0S2,L0S2 Fund Name AUD,L0S2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
A2O8,A2O8 Fund Name AUD,A2O8,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
0V7S,0V7S Fund Name AUD,0V7S,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
GKB5,GKB5 Fund Name AUD,GKB5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
